"GEO_ID","NAME","B02011_001E","B02011_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US00601","ZCTA5 00601","3","6"
"8600000US00602","ZCTA5 00602","0","29"
"8600000US00603","ZCTA5 00603","480","234"
"8600000US00606","ZCTA5 00606","0","19"
"8600000US00610","ZCTA5 00610","9","14"
"8600000US00612","ZCTA5 00612","665","265"
"8600000US00616","ZCTA5 00616","0","21"
"8600000US00617","ZCTA5 00617","142","109"
"8600000US00622","ZCTA5 00622","0","19"
"8600000US00623","ZCTA5 00623","144","152"
"8600000US00624","ZCTA5 00624","72","56"
"8600000US00627","ZCTA5 00627","0","29"
"8600000US00631","ZCTA5 00631","0","14"
"8600000US00637","ZCTA5 00637","8","9"
"8600000US00638","ZCTA5 00638","0","21"
"8600000US00641","ZCTA5 00641","133","85"
"8600000US00646","ZCTA5 00646","46","56"
"8600000US00647","ZCTA5 00647","0","19"
"8600000US00650","ZCTA5 00650","34","54"
"8600000US00652","ZCTA5 00652","25","40"
"8600000US00653","ZCTA5 00653","31","42"
"8600000US00656","ZCTA5 00656","135","124"
"8600000US00659","ZCTA5 00659","16","27"
"8600000US00660","ZCTA5 00660","45","68"
"8600000US00662","ZCTA5 00662","0","29"
"8600000US00664","ZCTA5 00664","5","9"
"8600000US00667","ZCTA5 00667","0","25"
"8600000US00669","ZCTA5 00669","0","25"
"8600000US00670","ZCTA5 00670","0","19"
"8600000US00674","ZCTA5 00674","110","92"
"8600000US00676","ZCTA5 00676","56","64"
"8600000US00677","ZCTA5 00677","47","68"
"8600000US00678","ZCTA5 00678","34","61"
"8600000US00680","ZCTA5 00680","94","117"
"8600000US00682","ZCTA5 00682","93","87"
"8600000US00683","ZCTA5 00683","0","29"
"8600000US00685","ZCTA5 00685","105","105"
"8600000US00687","ZCTA5 00687","116","129"
"8600000US00688","ZCTA5 00688","90","104"
"8600000US00690","ZCTA5 00690","23","37"
"8600000US00692","ZCTA5 00692","155","156"
"8600000US00693","ZCTA5 00693","13","20"
"8600000US00694","ZCTA5 00694","0","14"
"8600000US00698","ZCTA5 00698","5","7"
"8600000US00703","ZCTA5 00703","20","28"
"8600000US00704","ZCTA5 00704","15","23"
"8600000US00705","ZCTA5 00705","40","32"
"8600000US00707","ZCTA5 00707","0","21"
"8600000US00714","ZCTA5 00714","0","21"
"8600000US00715","ZCTA5 00715","0","14"
"8600000US00716","ZCTA5 00716","19","31"
"8600000US00717","ZCTA5 00717","0","21"
"8600000US00718","ZCTA5 00718","86","67"
"8600000US00719","ZCTA5 00719","0","25"
"8600000US00720","ZCTA5 00720","0","25"
"8600000US00723","ZCTA5 00723","0","21"
"8600000US00725","ZCTA5 00725","244","154"
"8600000US00727","ZCTA5 00727","217","136"
"8600000US00728","ZCTA5 00728","64","52"
"8600000US00729","ZCTA5 00729","163","120"
"8600000US00730","ZCTA5 00730","0","29"
"8600000US00731","ZCTA5 00731","23","37"
"8600000US00735","ZCTA5 00735","91","111"
"8600000US00736","ZCTA5 00736","68","106"
"8600000US00738","ZCTA5 00738","146","119"
"8600000US00739","ZCTA5 00739","72","102"
"8600000US00740","ZCTA5 00740","9","14"
"8600000US00741","ZCTA5 00741","0","14"
"8600000US00745","ZCTA5 00745","152","77"
"8600000US00751","ZCTA5 00751","123","134"
"8600000US00754","ZCTA5 00754","56","56"
"8600000US00757","ZCTA5 00757","0","25"
"8600000US00765","ZCTA5 00765","156","182"
"8600000US00766","ZCTA5 00766","0","25"
"8600000US00767","ZCTA5 00767","21","25"
"8600000US00769","ZCTA5 00769","16","24"
"8600000US00771","ZCTA5 00771","0","29"
"8600000US00772","ZCTA5 00772","32","36"
"8600000US00773","ZCTA5 00773","63","61"
"8600000US00775","ZCTA5 00775","13","20"
"8600000US00777","ZCTA5 00777","83","128"
