"GEO_ID","NAME","B25010_001E","B25010_001M","B25010_002E","B25010_002M","B25010_003E","B25010_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied"
"8600000US43964","ZCTA5 43964","2.26","0.08","2.35","0.10","2.05","0.23"
"8600000US28216","ZCTA5 28216","2.52","0.09","2.57","0.10","2.47","0.16"
"8600000US28277","ZCTA5 28277","2.68","0.05","2.83","0.06","2.35","0.12"
"8600000US28278","ZCTA5 28278","2.97","0.10","2.92","0.10","3.12","0.25"
"8600000US28303","ZCTA5 28303","2.21","0.07","2.37","0.10","2.08","0.10"
"8600000US28314","ZCTA5 28314","2.50","0.05","2.64","0.09","2.40","0.07"
"8600000US28330","ZCTA5 28330","2.05","0.57","2.19","0.48","1.85","1.24"
"8600000US28347","ZCTA5 28347","3.06","0.52","2.96","0.42","3.25","1.13"
"8600000US28351","ZCTA5 28351","2.51","0.17","2.55","0.22","2.40","0.33"
"8600000US28357","ZCTA5 28357","2.52","0.27","2.35","0.28","2.98","0.76"
"8600000US28369","ZCTA5 28369","2.69","0.27","2.62","0.29","2.90","0.48"
"8600000US28371","ZCTA5 28371","3.04","0.21","3.02","0.26","3.09","0.41"
"8600000US28392","ZCTA5 28392","2.74","0.54","2.53","0.53","3.59","1.24"
"8600000US28428","ZCTA5 28428","2.21","0.16","2.31","0.17","2.04","0.34"
"8600000US28433","ZCTA5 28433","2.57","0.23","2.51","0.26","2.74","0.50"
"8600000US28435","ZCTA5 28435","2.16","0.22","2.16","0.24","2.13","0.84"
"8600000US28450","ZCTA5 28450","2.33","0.19","2.23","0.23","2.59","0.31"
"8600000US28461","ZCTA5 28461","2.28","0.08","2.23","0.08","2.51","0.24"
"8600000US28462","ZCTA5 28462","2.34","0.13","2.22","0.11","2.79","0.47"
"8600000US28537","ZCTA5 28537","2.42","1.05","2.92","0.95","2.00","1.83"
"8600000US28547","ZCTA5 28547","3.48","0.23","6.00","1.66","3.47","0.23"
"8600000US28552","ZCTA5 28552","2.92","0.49","2.92","0.49","-","**"
"8600000US28557","ZCTA5 28557","2.18","0.07","2.23","0.08","2.09","0.14"
"8600000US28560","ZCTA5 28560","2.34","0.08","2.36","0.11","2.30","0.15"
